ident,type,name,iata_code
SKPB,small_airport,Puerto Bolívar Airport,
SKPC,medium_airport,German Olano Airport,PCR
SKPD,medium_airport,Obando Cesar Gaviria Trujillo Airport,PDA
SKPE,medium_airport,Matecaña International Airport,PEI
SKPG,small_airport,Puerto Gaitan Airport,
SKPI,medium_airport,Pitalito Airport,PTX
SKPL,small_airport,Plato Airport,PLT
SKPN,small_airport,Puerto Nare Airport,NAR
SKPP,medium_airport,Guillermo León Valencia Airport,PPN
SKPQ,medium_airport,German Olano Air Base,PAL
SKPR,small_airport,Puerto Berrio Airport,PBE
SKPS,medium_airport,Antonio Nariño Airport,PSO
SKPV,medium_airport,El Embrujo Airport,PVA
SKPZ,medium_airport,Paz De Ariporo Airport,PZA
SKQU,medium_airport,Mariquita Airport,MQU
SKRG,medium_airport,Jose Maria Córdova International Airport,MDE
SKRH,medium_airport,Almirante Padilla Airport,RCH
SKSA,small_airport,Los Colonizadores Airport,RVE
SKSG,small_airport,San Gil Airport,
SKSI,small_airport,Santiago I Airport,
SKSJ,medium_airport,Jorge E. Gonzalez Torres Airport,SJE
SKSL,small_airport,Santa Rosalia Airport,SSL
SKSM,medium_airport,Simón Bolívar International Airport,SMR
SKSO,small_airport,Alberto Lleras Camargo Airport,SOX
SKSP,medium_airport,Gustavo Rojas Pinilla International Airport,ADZ
SKSR,small_airport,San Marcos Airport,SRS
SKSV,medium_airport,Eduardo Falla Solano Airport,SVI
SKTB,small_airport,Tibú Airport,TIB
SKTD,small_airport,Trinidad Airport,TDA
SKTI,small_airport,Tolemaida Air Base,
SKTJ,medium_airport,Tunja Airport,
SKTL,small_airport,Golfo de Morrosquillo Airport,TLU
SKTM,medium_airport,Gustavo Vargas Airport,TME
SKTQ,medium_airport,Captain Ernesto Esguerra Cubides Air Base,TQS
SKUA,medium_airport,Marandúa Air Base,
SKUB,small_airport,Uribe Airport,URI
SKUC,medium_airport,Santiago Perez Airport,AUC
SKUI,medium_airport,El Caraño Airport,UIB
SKUL,medium_airport,Heriberto Gíl Martínez Airport,ULQ
SKUR,small_airport,Urrao Airport,URR
SKVG,small_airport,Villa Garzón Airport,VGZ
SKVL,small_airport,Velásquez Airport,PYA
SKVN,small_airport,Villanueva Airport,
SKVP,medium_airport,Alfonso López Pumarejo Airport,VUP
SKVV,medium_airport,Vanguardia Airport,VVC
SKYA,small_airport,Yaguara Airport,AYG
SKYP,medium_airport,El Yopal Airport,EYP
SLAG,small_airport,Monteagudo Airport,MHW
SLAL,medium_airport,Alcantarí Airport,SRE
SLAM,small_airport,Arampampa Airport,
SLAN,small_airport,Angora Airport,
SLAP,small_airport,Apolo Airport,APB
SLAQ,small_airport,Aiquile Airport,
SLAS,small_airport,Ascención De Guarayos Airport,ASC
SLBB,small_airport,Bulo Bulo Airport,
SLBF,small_airport,Blanca Flor Airport,
SLBH,small_airport,Buena Hora Airport,
SLBJ,medium_airport,Bermejo Airport,BJO
SLBN,small_airport,Bella Unión Airport,
SLBR,small_airport,Buen Retiro Itenez Airport,
SLBS,small_airport,Bella Vista Itenez Airport,
SLBT,small_airport,Buen Retiro Ballivian Airport,
SLBV,small_airport,Villa Vista Montano Airport,
SLCA,small_airport,Camiri Airport,CAM
SLCB,medium_airport,Jorge Wilsterman International Airport,CBB
SLCC,small_airport,Copacabana Airport,
SLCD,small_airport,Cañada Airport,
SLCE,small_airport,Cabezas Airport,
SLCG,small_airport,Charagua Airport,
SLCH,small_airport,Chimore Airport,CCA
SLCI,small_airport,Caigua Airport,
SLCL,small_airport,Collpani Airport,
SLCM,small_airport,Camacho Airport,
SLCN,small_airport,Charaña Airport,
SLCO,medium_airport,Capitán Aníbal Arab Airport,CIJ
SLCP,small_airport,Concepción Airport,CEP
SLCR,small_airport,Comarapa Airport,
SLCS,small_airport,Cerdas Airport,
SLCT,small_airport,"Choreti, Bolivia, South America Airport",
SLCU,small_airport,Culpina Airport,
SLCV,small_airport,Cavinas Airport,
SLCX,small_airport,Chive Airport,
SLCY,small_airport,Collpa Airport,
SLDA,small_airport,Caranda Airport,
SLDL,small_airport,Dalmacia Airport,
SLDN,small_airport,El Desengano Airport,
SLEA,small_airport,El Cocal Airport,
SLEC,small_airport,El Cairo Airport,
SLEE,small_airport,El Escondido Airport,
SLEF,small_airport,El Triunfo Airport,
SLEH,small_airport,El Rancho Airport,
SLEI,small_airport,Espino Airport,
SLEK,small_airport,El Condor Airport,
SLEO,small_airport,El Paraiso Airport,
SLEP,small_airport,El Peru Airport,
SLER,small_airport,Cerrillos Airport,
SLES,small_airport,Estalsa Airport,
SLET,medium_airport,El Trompillo Airport,SRZ
